iata,icao,name,city,country,timezone,utc_offset_hours,dst,openflights_id
TAT,LZTT,Poprad-Tatry Airport,Poprad,Slovakia,Europe/Bratislava,1,E,1751
TAY,EETU,Tartu Airport,Tartu,Estonia,Europe/Tallinn,2,E,416
TAZ,UTAT,Daşoguz Airport,Dasoguz,Turkmenistan,Asia/Ashgabat,5,U,7565
TBB,VVTH,Dong Tac Airport,Tuy Hoa,Vietnam,Asia/Saigon,7,U,4158
TBG,AYTB,Tabubil Airport,Tabubil,Papua New Guinea,Pacific/Port_Moresby,10,U,5434
TBH,RPVU,Tugdan Airport,Romblon,Philippines,Asia/Manila,8,N,6745
TBI,MYCB,New Bight Airport,Cat Island,Bahamas,America/Nassau,-5,U,5858
TBJ,DTKA,Tabarka 7 Novembre Airport,Tabarka,Tunisia,Africa/Tunis,1,E,4316
TBN,KTBN,Waynesville-St. Robert Regional Forney field,Fort Leonardwood,United States,America/Chicago,-6,A,3665
TBO,HTTB,Tabora Airport,Tabora,Tanzania,Africa/Dar_es_Salaam,3,U,5708
TBP,SPME,Capitan FAP Pedro Canga Rodriguez Airport,Tumbes,Peru,America/Lima,-5,U,2796
TBS,UGTB,Tbilisi International Airport,Tbilisi,Georgia,Asia/Tbilisi,4,N,3973
TBT,SBTT,Tabatinga Airport,Tabatinga,Brazil,America/Boa_Vista,-4,S,2628
TBU,NFTF,Fua'amotu International Airport,Tongatapu,Tonga,Pacific/Tongatapu,13,U,1963
TBW,UUOT,Donskoye Airport,Tambow,Russia,Europe/Moscow,3,N,6466
TBZ,OITT,Tabriz International Airport,Tabriz,Iran,Asia/Tehran,3.5,E,2162
TCA,YTNK,Tennant Creek Airport,Tennant Creek,Australia,Australia/Darwin,9.5,O,6330
TCB,MYAT,Treasure Cay Airport,Treasure Cay,Bahamas,America/Nassau,-5,U,1934
TCC,KTCC,Tucumcari Municipal Airport,Tucumcari,United States,America/Denver,-7,A,3773
TCE,LRTC,Tulcea Airport,Tulcea,Romania,Europe/Bucharest,2,E,1661
TCG,ZWTC,Tacheng Airport,Tacheng,China,Asia/Shanghai,8,U,6752
TCH,FOOT,Tchibanga Airport,Tchibanga,Gabon,Africa/Libreville,1,N,5636
TCL,KTCL,Tuscaloosa Regional Airport,Tuscaloosa AL,United States,America/Chicago,-6,A,4387
TCM,KTCM,McChord Air Force Base,Tacoma,United States,America/Los_Angeles,-8,A,3672
TCN,MMHC,Tehuacan Airport,Tehuacan,Mexico,America/Mexico_City,-6,S,1806
TCO,SKCO,La Florida Airport,Tumaco,Colombia,America/Bogota,-5,U,2716
TCP,HETB,Taba International Airport,Taba,Egypt,Africa/Cairo,2,U,4313
TCQ,SPTN,Coronel FAP Carlos Ciriani Santa Rosa International Airport,Tacna,Peru,America/Lima,-5,U,2807
TCS,KTCS,Truth Or Consequences Municipal Airport,Truth Or Consequences,United States,America/Denver,-7,A,3755
TCX,OIMT,Tabas Airport,Tabas,Iran,Asia/Tehran,3.5,E,2147
TCZ,ZUTC,Tengchong Tuofeng Airport,Tengchong,China,Asia/Shanghai,8,N,7862
TDD,SLTR,Teniente Av. Jorge Henrich Arauz Airport,Trinidad,Bolivia,America/La_Paz,-4,U,2769
TDG,RPMW,Tandag Airport,Tandag,Philippines,Asia/Manila,8,N,6017
TDJ,HDTJ,Tadjoura Airport,Tadjoura,Djibouti,Africa/Djibouti,3,N,9392
TDL,SAZT,Héroes De Malvinas Airport,Tandil,Argentina,America/Buenos_Aires,-3,N,2514
TDR,YTDR,Theodore Airport,Theodore,Australia,Australia/Brisbane,10,N,8848
TDX,VTBO,Trat Airport,Trat,Thailand,Asia/Bangkok,7,U,4135
TEA,MHTE,Tela Airport,Tela,Honduras,America/Tegucigalpa,-6,U,1775
TEB,KTEB,Teterboro Airport,Teterboro,United States,America/New_York,-5,A,3624
TEC,SBTL,Telêmaco Borba Airport,Telemaco Borba,Brazil,America/Sao_Paulo,-3,S,2626
TED,EKTS,Thisted Airport,Thisted,Denmark,Europe/Copenhagen,1,E,623
TEE,DABS,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,Africa/Algiers,1,N,222
TEF,YTEF,Telfer Airport,Telfer,Australia,Australia/Perth,8,N,8265
TEM,YTEM,Temora Airport,Temora,Australia,Australia/Sydney,10,O,8995
TEN,ZUTR,Tongren Fenghuang Airport,Tongren,China,Asia/Shanghai,8,U,6963
TEQ,LTBU,Tekirdağ Çorlu Airport,Çorlu,Turkey,Europe/Istanbul,3,E,6784
TER,LPLA,Lajes Airport,Lajes (terceira Island),Portugal,Atlantic/Azores,-1,E,1629
TET,FQTT,Chingozi Airport,Tete,Mozambique,Africa/Maputo,2,U,988
TEU,NZMO,Manapouri Airport,Manapouri,New Zealand,Pacific/Auckland,12,Z,2021
TEX,KTEX,Telluride Regional Airport,Telluride,United States,America/Denver,-7,A,4084
TEZ,VETZ,Tezpur Airport,Tezpur,India,Asia/Calcutta,5.5,N,6175
TFF,SBTF,Tefé Airport,Tefe,Brazil,America/Boa_Vista,-4,S,2624
TFN,GCXO,Tenerife Norte Airport,Tenerife,Spain,Atlantic/Canary,0,E,1057
TFS,GCTS,Tenerife South Airport,Tenerife,Spain,Atlantic/Canary,0,E,1056
TGA,WSAT,Tengah Air Base,Tengah,Singapore,Asia/Singapore,8,N,3314
TGD,LYPG,Podgorica Airport,Podgorica,Montenegro,Europe/Podgorica,1,E,1741
TGG,WMKN,Sultan Mahmud Airport,Kuala Terengganu,Malaysia,Asia/Kuala_Lumpur,8,N,3307
TGH,NVST,Tongoa Airport,Tongoa Island,Vanuatu,Pacific/Efate,11,U,5909
TGI,SPGM,Tingo Maria Airport,Tingo Maria,Peru,America/Lima,-5,N,9768
TGJ,NWWA,Tiga Airport,Tiga,New Caledonia,Pacific/Noumea,11,U,5919
TGK,URRT,Taganrog Yuzhny Airport,Taganrog,Russia,Europe/Moscow,3,N,6932
TGM,LRTM,Transilvania Târgu Mureş International Airport,Tirgu Mures,Romania,Europe/Bucharest,2,E,1662
TGO,ZBTL,Tongliao Airport,Tongliao,China,Asia/Shanghai,8,U,6348
TGP,UNIP,Podkamennaya Tunguska Airport,Bor,Russia,Asia/Krasnoyarsk,7,N,8341
TGR,DAUK,Touggourt Sidi Madhi Airport,Touggourt,Algeria,Africa/Algiers,1,N,240
TGT,HTTG,Tanga Airport,Tanga,Tanzania,Africa/Dar_es_Salaam,3,U,1185
TGU,MHTG,Toncontín International Airport,Tegucigalpa,Honduras,America/Tegucigalpa,-6,U,1776
TGZ,MMTG,Angel Albino Corzo International Airport,Tuxtla Gutierrez,Mexico,America/Mexico_City,-6,S,1846
THE,SBTE,Senador Petrônio Portela Airport,Teresina,Brazil,America/Fortaleza,-3,S,2623
THF,EDDI,Berlin-Tempelhof International Airport,Berlin,Germany,Europe/Berlin,1,E,343
THG,YTNG,Thangool Airport,Biloela,Australia,Australia/Brisbane,10,O,4289
THL,VYTL,Tachileik Airport,Tachilek,Burma,Asia/Rangoon,6.5,U,3237
THN,ESGT,Trollhättan-Vänersborg Airport,Trollhattan,Sweden,Europe/Stockholm,1,E,693
THO,BITN,Thorshofn Airport,Thorshofn,Iceland,Atlantic/Reykjavik,0,N,5452
THQ,ZLTS,Tianshui Maijishan Airport,Tianshui,China,Asia/Shanghai,8,N,8889
THR,OIII,Mehrabad International Airport,Teheran,Iran,Asia/Tehran,3.5,E,2131
